1|20200511|1500|2200|1|-1|Juhon syntynmäpäiväXD|
1|0|0|0|2|-1||
2|20200606|1200|1230|-1|1|Santerin syntymäpäivä|
2|0|0|0|2|-1||
2|0|0|0|-1|3||
-3|20200615|1300|1600|-1|1||
-3|0|0|0|2|-1||
-3|0|0|0|3|-1||
-3|0|0|0|4|-1||
4|20200619|1600|1900|-1|1||
4|0|0|0|2|-1||
4|0|0|0|3|-1||
4|0|0|0|4|-1||
-5|20200720|1300|1500|1|-1||
-5|0|0|0|2|-1||
-5|0|0|0|3|-1||
-5|0|0|0|-1|4||
6|20200716|1600|1730|-1|1||
6|0|0|0|2|-1||
6|0|0|0|-1|3||
6|0|0|0|4|-1||
7|20200623|800|2300|1|-1|Perinne Jussi|
7|0|0|0|2|-1||
7|0|0|0|3|-1||
7|0|0|0|4|-1||
7|0|0|0|5|-1||
